input_sizes,output_layouts
"[(92, 107), (145, 250), (255, 176), (85, 103)]","[(439, 378, 531, 378, 531, 485, 439, 485), (842, 478, 987, 478, 987, 728, 842, 728), (312, 427, 567, 427, 567, 603, 312, 603), (104, 559, 189, 559, 189, 662, 104, 662)]"
"[(200, 140), (278, 77), (250, 255), (218, 111), (82, 92), (117, 138), (113, 282)]","[(601, 186, 801, 186, 801, 326, 601, 326), (658, 149, 936, 149, 936, 226, 658, 226), (261, 722, 511, 722, 511, 977, 261, 977), (721, 168, 939, 168, 939, 279, 721, 279), (502, 515, 584, 515, 584, 607, 502, 607), (734, 518, 851, 518, 851, 656, 734, 656), (783, 445, 896, 445, 896, 727, 783, 727)]"
"[(102, 255), (163, 290), (56, 267), (283, 99), (222, 278), (147, 107), (50, 173), (130, 50), (92, 217)]","[(156, 653, 258, 653, 258, 908, 156, 908), (211, 360, 374, 360, 374, 650, 211, 650), (565, 627, 621, 627, 621, 894, 565, 894), (376, 50, 659, 50, 659, 149, 376, 149), (102, 425, 324, 425, 324, 703, 102, 703), (654, 232, 801, 232, 801, 339, 654, 339), (5, 135, 55, 135, 55, 308, 5, 308), (640, 889, 770, 889, 770, 939, 640, 939), (464, 546, 556, 546, 556, 763, 464, 763)]"
"[(158, 174), (300, 83), (257, 264), (212, 146), (185, 157), (214, 294), (51, 265), (183, 283)]","[(618, 803, 776, 803, 776, 977, 618, 977), (308, 775, 608, 775, 608, 858, 308, 858), (608, 143, 865, 143, 865, 407, 608, 407), (207, 133, 419, 133, 419, 279, 207, 279), (503, 813, 688, 813, 688, 970, 503, 970), (301, 332, 515, 332, 515, 626, 301, 626), (909, 193, 960, 193, 960, 458, 909, 458), (765, 583, 948, 583, 948, 866, 765, 866)]"
"[(199, 242), (242, 186), (199, 143), (264, 272), (219, 114), (293, 271), (190, 289), (299, 262), (206, 237)]","[(279, 632, 478, 632, 478, 874, 279, 874), (166, 638, 408, 638, 408, 824, 166, 824), (430, 251, 629, 251, 629, 394, 430, 394), (581, 604, 845, 604, 845, 876, 581, 876), (64, 26, 283, 26, 283, 140, 64, 140), (313, 459, 606, 459, 606, 730, 313, 730), (428, 428, 618, 428, 618, 717, 428, 717), (252, 659, 551, 659, 551, 921, 252, 921), (451, 443, 657, 443, 657, 680, 451, 680)]"
"[(207, 257), (108, 114), (90, 134), (116, 199), (262, 60), (298, 167), (178, 203)]","[(335, 141, 542, 141, 542, 398, 335, 398), (68, 499, 176, 499, 176, 613, 68, 613), (424, 784, 514, 784, 514, 918, 424, 918), (300, 687, 416, 687, 416, 886, 300, 886), (227, 413, 489, 413, 489, 473, 227, 473), (635, 673, 933, 673, 933, 840, 635, 840), (632, 232, 810, 232, 810, 435, 632, 435)]"
"[(118, 184), (108, 130), (274, 120), (290, 165), (106, 198), (151, 182), (88, 124), (178, 220)]","[(822, 233, 940, 233, 940, 417, 822, 417), (848, 42, 956, 42, 956, 172, 848, 172), (109, 805, 383, 805, 383, 925, 109, 925), (578, 612, 868, 612, 868, 777, 578, 777), (367, 229, 473, 229, 473, 427, 367, 427), (112, 400, 263, 400, 263, 582, 112, 582), (506, 809, 594, 809, 594, 933, 506, 933), (216, 111, 394, 111, 394, 331, 216, 331)]"
"[(238, 143), (289, 101), (149, 230), (130, 215), (234, 249), (82, 114), (284, 119)]","[(538, 274, 776, 274, 776, 417, 538, 417), (204, 531, 493, 531, 493, 632, 204, 632), (425, 579, 574, 579, 574, 809, 425, 809), (755, 248, 885, 248, 885, 463, 755, 463), (53, 493, 287, 493, 287, 742, 53, 742), (38, 504, 120, 504, 120, 618, 38, 618), (695, 270, 979, 270, 979, 389, 695, 389)]"
"[(277, 124), (229, 142), (291, 129), (80, 284), (222, 118), (121, 230), (292, 66), (212, 288), (282, 259)]","[(364, 439, 641, 439, 641, 563, 364, 563), (280, 376, 509, 376, 509, 518, 280, 518), (168, 631, 459, 631, 459, 760, 168, 760), (460, 158, 540, 158, 540, 442, 460, 442), (332, 553, 554, 553, 554, 671, 332, 671), (68, 420, 189, 420, 189, 650, 68, 650), (360, 198, 652, 198, 652, 264, 360, 264), (171, 19, 383, 19, 383, 307, 171, 307), (15, 424, 297, 424, 297, 683, 15, 683)]"
"[(243, 109), (227, 125), (98, 193), (163, 252), (273, 175)]","[(369, 232, 612, 232, 612, 341, 369, 341), (541, 382, 768, 382, 768, 507, 541, 507), (416, 218, 514, 218, 514, 411, 416, 411), (574, 539, 737, 539, 737, 791, 574, 791), (264, 167, 537, 167, 537, 342, 264, 342)]"
"[(249, 133), (73, 56), (131, 54)]","[(34, 62, 283, 62, 283, 195, 34, 195), (257, 733, 330, 733, 330, 789, 257, 789), (712, 801, 843, 801, 843, 855, 712, 855)]"
"[(205, 64), (154, 129), (179, 82), (71, 281), (127, 115), (238, 153), (196, 231)]","[(425, 50, 630, 50, 630, 114, 425, 114), (695, 578, 849, 578, 849, 707, 695, 707), (607, 691, 786, 691, 786, 773, 607, 773), (594, 70, 665, 70, 665, 351, 594, 351), (707, 41, 834, 41, 834, 156, 707, 156), (630, 560, 868, 560, 868, 713, 630, 713), (107, 665, 303, 665, 303, 896, 107, 896)]"
"[(168, 211), (52, 295), (201, 176), (97, 170), (99, 179)]","[(53, 425, 221, 425, 221, 636, 53, 636), (321, 568, 373, 568, 373, 863, 321, 863), (414, 20, 615, 20, 615, 196, 414, 196), (31, 174, 128, 174, 128, 344, 31, 344), (507, 270, 606, 270, 606, 449, 507, 449)]"
"[(62, 298), (170, 272)]","[(640, 220, 702, 220, 702, 518, 640, 518), (188, 640, 358, 640, 358, 912, 188, 912)]"
"[(222, 178), (228, 289), (101, 155), (210, 138), (121, 189), (227, 179), (274, 171), (192, 145), (172, 272), (185, 123), (60, 244)]","[(188, 335, 410, 335, 410, 513, 188, 513), (584, 402, 812, 402, 812, 691, 584, 691), (238, 160, 339, 160, 339, 315, 238, 315), (92, 22, 302, 22, 302, 160, 92, 160), (111, 456, 232, 456, 232, 645, 111, 645), (455, 368, 682, 368, 682, 547, 455, 547), (460, 188, 734, 188, 734, 359, 460, 359), (682, 169, 874, 169, 874, 314, 682, 314), (458, 380, 630, 380, 630, 652, 458, 652), (522, 153, 707, 153, 707, 276, 522, 276), (695, 6, 755, 6, 755, 250, 695, 250)]"
"[(73, 129), (161, 212), (213, 178), (165, 265), (127, 242), (176, 147)]","[(754, 399, 827, 399, 827, 528, 754, 528), (35, 212, 196, 212, 196, 424, 35, 424), (110, 557, 323, 557, 323, 735, 110, 735), (498, 637, 663, 637, 663, 902, 498, 902), (711, 624, 838, 624, 838, 866, 711, 866), (581, 168, 757, 168, 757, 315, 581, 315)]"
"[(132, 69), (273, 186), (164, 205), (173, 76), (115, 84), (92, 117), (264, 124)]","[(662, 333, 794, 333, 794, 402, 662, 402), (264, 179, 537, 179, 537, 365, 264, 365), (199, 244, 363, 244, 363, 449, 199, 449), (618, 799, 791, 799, 791, 875, 618, 875), (51, 849, 166, 849, 166, 933, 51, 933), (534, 331, 626, 331, 626, 448, 534, 448), (124, 375, 388, 375, 388, 499, 124, 499)]"
"[(256, 292), (194, 52), (230, 94), (257, 107), (53, 129), (245, 114), (116, 257), (55, 189), (188, 299), (243, 260), (112, 186), (114, 160)]","[(78, 434, 334, 434, 334, 726, 78, 726), (671, 254, 865, 254, 865, 306, 671, 306), (299, 199, 529, 199, 529, 293, 299, 293), (333, 116, 590, 116, 590, 223, 333, 223), (418, 741, 471, 741, 471, 870, 418, 870), (345, 706, 590, 706, 590, 820, 345, 820), (134, 455, 250, 455, 250, 712, 134, 712), (324, 756, 379, 756, 379, 945, 324, 945), (195, 625, 383, 625, 383, 924, 195, 924), (746, 116, 989, 116, 989, 376, 746, 376), (791, 227, 903, 227, 903, 413, 791, 413), (689, 276, 803, 276, 803, 436, 689, 436)]"
"[(252, 158), (149, 299), (158, 92), (99, 271), (165, 135), (199, 113), (70, 230), (144, 149), (126, 98), (179, 153), (246, 240)]","[(428, 559, 680, 559, 680, 717, 428, 717), (833, 495, 982, 495, 982, 794, 833, 794), (164, 403, 322, 403, 322, 495, 164, 495), (806, 571, 905, 571, 905, 842, 806, 842), (444, 844, 609, 844, 609, 979, 444, 979), (563, 17, 762, 17, 762, 130, 563, 130), (411, 566, 481, 566, 481, 796, 411, 796), (754, 426, 898, 426, 898, 575, 754, 575), (263, 686, 389, 686, 389, 784, 263, 784), (594, 390, 773, 390, 773, 543, 594, 543), (312, 451, 558, 451, 558, 691, 312, 691)]"
"[(200, 115), (52, 165), (167, 231), (232, 58), (127, 220), (98, 61), (223, 51)]","[(9, 542, 209, 542, 209, 657, 9, 657), (397, 586, 449, 586, 449, 751, 397, 751), (578, 495, 745, 495, 745, 726, 578, 726), (440, 76, 672, 76, 672, 134, 440, 134), (479, 430, 606, 430, 606, 650, 479, 650), (434, 638, 532, 638, 532, 699, 434, 699), (733, 193, 956, 193, 956, 244, 733, 244)]"
"[(233, 119), (246, 194), (122, 201), (258, 188), (197, 288), (127, 275), (180, 253), (113, 96), (50, 291), (285, 243)]","[(268, 115, 501, 115, 501, 234, 268, 234), (204, 619, 450, 619, 450, 813, 204, 813), (219, 102, 341, 102, 341, 303, 219, 303), (436, 153, 694, 153, 694, 341, 436, 341), (789, 495, 986, 495, 986, 783, 789, 783), (347, 663, 474, 663, 474, 938, 347, 938), (400, 293, 580, 293, 580, 546, 400, 546), (671, 223, 784, 223, 784, 319, 671, 319), (287, 128, 337, 128, 337, 419, 287, 419), (510, 206, 795, 206, 795, 449, 510, 449)]"
"[(149, 94), (132, 160)]","[(73, 280, 222, 280, 222, 374, 73, 374), (498, 840, 630, 840, 630, 1000, 498, 1000)]"
"[(63, 193), (222, 231), (233, 157), (234, 162), (190, 139), (272, 195), (203, 123), (147, 166), (119, 223), (96, 132), (63, 105), (227, 288)]","[(344, 286, 407, 286, 407, 479, 344, 479), (271, 83, 493, 83, 493, 314, 271, 314), (236, 675, 469, 675, 469, 832, 236, 832), (54, 221, 288, 221, 288, 383, 54, 383), (796, 394, 986, 394, 986, 533, 796, 533), (247, 776, 519, 776, 519, 971, 247, 971), (40, 777, 243, 777, 243, 900, 40, 900), (287, 522, 434, 522, 434, 688, 287, 688), (714, 182, 833, 182, 833, 405, 714, 405), (862, 586, 958, 586, 958, 718, 862, 718), (937, 429, 1000, 429, 1000, 534, 937, 534), (471, 236, 698, 236, 698, 524, 471, 524)]"
"[(125, 274), (176, 268), (200, 71), (297, 205), (232, 281), (281, 187), (232, 179), (74, 76), (232, 68), (74, 149)]","[(62, 400, 187, 400, 187, 674, 62, 674), (493, 113, 669, 113, 669, 381, 493, 381), (538, 379, 738, 379, 738, 450, 538, 450), (494, 35, 791, 35, 791, 240, 494, 240), (526, 81, 758, 81, 758, 362, 526, 362), (473, 507, 754, 507, 754, 694, 473, 694), (585, 170, 817, 170, 817, 349, 585, 349), (209, 497, 283, 497, 283, 573, 209, 573), (624, 354, 856, 354, 856, 422, 624, 422), (14, 592, 88, 592, 88, 741, 14, 741)]"
"[(104, 271), (212, 197), (112, 130), (237, 55), (139, 212), (175, 80), (132, 233), (192, 249), (166, 225), (231, 175), (50, 220)]","[(838, 434, 942, 434, 942, 705, 838, 705), (710, 223, 922, 223, 922, 420, 710, 420), (590, 747, 702, 747, 702, 877, 590, 877), (25, 880, 262, 880, 262, 935, 25, 935), (797, 748, 936, 748, 936, 960, 797, 960), (379, 572, 554, 572, 554, 652, 379, 652), (61, 448, 193, 448, 193, 681, 61, 681), (769, 156, 961, 156, 961, 405, 769, 405), (432, 420, 598, 420, 598, 645, 432, 645), (513, 569, 744, 569, 744, 744, 513, 744), (265, 737, 315, 737, 315, 957, 265, 957)]"
"[(191, 175), (240, 262), (237, 120), (257, 129), (282, 290), (68, 234), (274, 285), (161, 220), (268, 113), (195, 199), (245, 223)]","[(509, 772, 700, 772, 700, 947, 509, 947), (9, 208, 249, 208, 249, 470, 9, 470), (730, 609, 967, 609, 967, 729, 730, 729), (675, 232, 932, 232, 932, 361, 675, 361), (195, 303, 477, 303, 477, 593, 195, 593), (162, 21, 230, 21, 230, 255, 162, 255), (591, 53, 865, 53, 865, 338, 591, 338), (4, 547, 165, 547, 165, 767, 4, 767), (188, 647, 456, 647, 456, 760, 188, 760), (138, 438, 333, 438, 333, 637, 138, 637), (538, 28, 783, 28, 783, 251, 538, 251)]"
"[(217, 233)]","[(447, 124, 664, 124, 664, 357, 447, 357)]"
"[(98, 247)]","[(837, 380, 935, 380, 935, 627, 837, 627)]"
"[(123, 171), (146, 192)]","[(63, 299, 186, 299, 186, 470, 63, 470), (94, 363, 240, 363, 240, 555, 94, 555)]"
"[(104, 276), (82, 247), (224, 174), (162, 205)]","[(534, 384, 638, 384, 638, 660, 534, 660), (326, 719, 408, 719, 408, 966, 326, 966), (531, 115, 755, 115, 755, 289, 531, 289), (476, 64, 638, 64, 638, 269, 476, 269)]"
"[(101, 282), (169, 267), (199, 193), (123, 127), (131, 81), (125, 243), (295, 226)]","[(862, 184, 963, 184, 963, 466, 862, 466), (222, 616, 391, 616, 391, 883, 222, 883), (335, 684, 534, 684, 534, 877, 335, 877), (32, 643, 155, 643, 155, 770, 32, 770), (10, 420, 141, 420, 141, 501, 10, 501), (142, 732, 267, 732, 267, 975, 142, 975), (521, 119, 816, 119, 816, 345, 521, 345)]"
"[(217, 149), (209, 196), (159, 133), (74, 130), (282, 80), (217, 217), (297, 174), (266, 274), (115, 262), (69, 300), (241, 190)]","[(504, 354, 721, 354, 721, 503, 504, 503), (168, 647, 377, 647, 377, 843, 168, 843), (474, 570, 633, 570, 633, 703, 474, 703), (764, 769, 838, 769, 838, 899, 764, 899), (563, 612, 845, 612, 845, 692, 563, 692), (370, 691, 587, 691, 587, 908, 370, 908), (540, 121, 837, 121, 837, 295, 540, 295), (203, 207, 469, 207, 469, 481, 203, 481), (416, 275, 531, 275, 531, 537, 416, 537), (538, 556, 607, 556, 607, 856, 538, 856), (248, 21, 489, 21, 489, 211, 248, 211)]"
"[(289, 53), (279, 194), (129, 134), (185, 295), (82, 54), (58, 186), (176, 224), (105, 219)]","[(293, 540, 582, 540, 582, 593, 293, 593), (224, 162, 503, 162, 503, 356, 224, 356), (186, 346, 315, 346, 315, 480, 186, 480), (744, 110, 929, 110, 929, 405, 744, 405), (47, 101, 129, 101, 129, 155, 47, 155), (22, 390, 80, 390, 80, 576, 22, 576), (559, 178, 735, 178, 735, 402, 559, 402), (717, 658, 822, 658, 822, 877, 717, 877)]"
"[(67, 104), (162, 138), (168, 144), (203, 141), (297, 155), (208, 69), (70, 175), (80, 221), (188, 90)]","[(670, 309, 737, 309, 737, 413, 670, 413), (449, 693, 611, 693, 611, 831, 449, 831), (310, 799, 478, 799, 478, 943, 310, 943), (276, 244, 479, 244, 479, 385, 276, 385), (15, 150, 312, 150, 312, 305, 15, 305), (133, 448, 341, 448, 341, 517, 133, 517), (858, 512, 928, 512, 928, 687, 858, 687), (511, 293, 591, 293, 591, 514, 511, 514), (292, 84, 480, 84, 480, 174, 292, 174)]"
"[(235, 171), (85, 157), (194, 170), (158, 210), (254, 130), (280, 187)]","[(133, 144, 368, 144, 368, 315, 133, 315), (95, 424, 180, 424, 180, 581, 95, 581), (722, 74, 916, 74, 916, 244, 722, 244), (728, 43, 886, 43, 886, 253, 728, 253), (449, 108, 703, 108, 703, 238, 449, 238), (308, 412, 588, 412, 588, 599, 308, 599)]"
"[(223, 171), (73, 199)]","[(523, 665, 746, 665, 746, 836, 523, 836), (284, 94, 357, 94, 357, 293, 284, 293)]"
"[(139, 186), (273, 295), (135, 290), (90, 153), (132, 295), (101, 198)]","[(475, 295, 614, 295, 614, 481, 475, 481), (586, 28, 859, 28, 859, 323, 586, 323), (845, 222, 980, 222, 980, 512, 845, 512), (846, 452, 936, 452, 936, 605, 846, 605), (76, 117, 208, 117, 208, 412, 76, 412), (383, 151, 484, 151, 484, 349, 383, 349)]"
"[(131, 162), (50, 160), (243, 251), (299, 204), (211, 69), (294, 261), (110, 287), (209, 202), (166, 217)]","[(527, 683, 658, 683, 658, 845, 527, 845), (196, 830, 246, 830, 246, 990, 196, 990), (190, 408, 433, 408, 433, 659, 190, 659), (391, 60, 690, 60, 690, 264, 391, 264), (480, 849, 691, 849, 691, 918, 480, 918), (358, 71, 652, 71, 652, 332, 358, 332), (22, 119, 132, 119, 132, 406, 22, 406), (362, 546, 571, 546, 571, 748, 362, 748), (337, 112, 503, 112, 503, 329, 337, 329)]"
"[(254, 195), (231, 188), (128, 71), (93, 130), (201, 214), (173, 166), (149, 207), (87, 286), (92, 261)]","[(128, 122, 382, 122, 382, 317, 128, 317), (553, 76, 784, 76, 784, 264, 553, 264), (452, 7, 580, 7, 580, 78, 452, 78), (858, 763, 951, 763, 951, 893, 858, 893), (701, 713, 902, 713, 902, 927, 701, 927), (33, 389, 206, 389, 206, 555, 33, 555), (539, 459, 688, 459, 688, 666, 539, 666), (378, 47, 465, 47, 465, 333, 378, 333), (159, 555, 251, 555, 251, 816, 159, 816)]"
"[(262, 180), (234, 178), (186, 251), (89, 241), (80, 157), (261, 228), (72, 51)]","[(160, 725, 422, 725, 422, 905, 160, 905), (445, 394, 679, 394, 679, 572, 445, 572), (64, 91, 250, 91, 250, 342, 64, 342), (747, 8, 836, 8, 836, 249, 747, 249), (593, 306, 673, 306, 673, 463, 593, 463), (332, 445, 593, 445, 593, 673, 332, 673), (258, 343, 330, 343, 330, 394, 258, 394)]"
"[(149, 58), (228, 142), (284, 156)]","[(173, 762, 322, 762, 322, 820, 173, 820), (490, 190, 718, 190, 718, 332, 490, 332), (609, 676, 893, 676, 893, 832, 609, 832)]"
"[(90, 99)]","[(459, 705, 549, 705, 549, 804, 459, 804)]"
"[(262, 50), (84, 140), (183, 131)]","[(692, 675, 954, 675, 954, 725, 692, 725), (536, 627, 620, 627, 620, 767, 536, 767), (191, 293, 374, 293, 374, 424, 191, 424)]"
"[(158, 264), (131, 77), (250, 138)]","[(793, 573, 951, 573, 951, 837, 793, 837), (761, 154, 892, 154, 892, 231, 761, 231), (492, 479, 742, 479, 742, 617, 492, 617)]"
"[(258, 154), (114, 285), (266, 138), (110, 143), (86, 153), (115, 136)]","[(709, 530, 967, 530, 967, 684, 709, 684), (569, 10, 683, 10, 683, 295, 569, 295), (527, 391, 793, 391, 793, 529, 527, 529), (178, 123, 288, 123, 288, 266, 178, 266), (456, 664, 542, 664, 542, 817, 456, 817), (26, 852, 141, 852, 141, 988, 26, 988)]"
"[(84, 240), (246, 67), (96, 112), (194, 230), (297, 298), (91, 253), (229, 92), (64, 241), (151, 62), (128, 283)]","[(110, 60, 194, 60, 194, 300, 110, 300), (267, 291, 513, 291, 513, 358, 267, 358), (537, 406, 633, 406, 633, 518, 537, 518), (137, 146, 331, 146, 331, 376, 137, 376), (445, 607, 742, 607, 742, 905, 445, 905), (842, 236, 933, 236, 933, 489, 842, 489), (713, 302, 942, 302, 942, 394, 713, 394), (270, 546, 334, 546, 334, 787, 270, 787), (208, 462, 359, 462, 359, 524, 208, 524), (440, 372, 568, 372, 568, 655, 440, 655)]"
"[(161, 249), (189, 183), (71, 75), (159, 69), (278, 78), (254, 255), (101, 196), (200, 210), (77, 93)]","[(666, 133, 827, 133, 827, 382, 666, 382), (290, 234, 479, 234, 479, 417, 290, 417), (717, 877, 788, 877, 788, 952, 717, 952), (643, 369, 802, 369, 802, 438, 643, 438), (272, 737, 550, 737, 550, 815, 272, 815), (661, 668, 915, 668, 915, 923, 661, 923), (799, 232, 900, 232, 900, 428, 799, 428), (428, 733, 628, 733, 628, 943, 428, 943), (561, 177, 638, 177, 638, 270, 561, 270)]"
"[(96, 240), (207, 166), (89, 61)]","[(546, 276, 642, 276, 642, 516, 546, 516), (773, 787, 980, 787, 980, 953, 773, 953), (845, 915, 934, 915, 934, 976, 845, 976)]"
"[(254, 300)]","[(621, 634, 875, 634, 875, 934, 621, 934)]"
"[(118, 89), (184, 284), (114, 187), (245, 221), (255, 96), (287, 123), (160, 191), (217, 291), (252, 128), (83, 264), (81, 75)]","[(270, 74, 388, 74, 388, 163, 270, 163), (27, 621, 211, 621, 211, 905, 27, 905), (737, 106, 851, 106, 851, 293, 737, 293), (303, 533, 548, 533, 548, 754, 303, 754), (201, 786, 456, 786, 456, 882, 201, 882), (644, 364, 931, 364, 931, 487, 644, 487), (718, 655, 878, 655, 878, 846, 718, 846), (249, 349, 466, 349, 466, 640, 249, 640), (240, 799, 492, 799, 492, 927, 240, 927), (720, 414, 803, 414, 803, 678, 720, 678), (302, 584, 383, 584, 383, 659, 302, 659)]"
"[(114, 173), (68, 262)]","[(351, 734, 465, 734, 465, 907, 351, 907), (213, 320, 281, 320, 281, 582, 213, 582)]"
"[(286, 180), (57, 102), (298, 68), (247, 299), (55, 167)]","[(630, 709, 916, 709, 916, 889, 630, 889), (576, 132, 633, 132, 633, 234, 576, 234), (387, 345, 685, 345, 685, 413, 387, 413), (296, 584, 543, 584, 543, 883, 296, 883), (288, 43, 343, 43, 343, 210, 288, 210)]"
"[(88, 198), (188, 235), (102, 53), (127, 115), (148, 169), (88, 114)]","[(244, 150, 332, 150, 332, 348, 244, 348), (729, 250, 917, 250, 917, 485, 729, 485), (18, 82, 120, 82, 120, 135, 18, 135), (106, 832, 233, 832, 233, 947, 106, 947), (52, 32, 200, 32, 200, 201, 52, 201), (138, 87, 226, 87, 226, 201, 138, 201)]"
"[(204, 188), (273, 243), (166, 229), (90, 285), (263, 70), (295, 154), (197, 72), (245, 279), (218, 147), (124, 88), (204, 291)]","[(739, 497, 943, 497, 943, 685, 739, 685), (148, 671, 421, 671, 421, 914, 148, 914), (609, 489, 775, 489, 775, 718, 609, 718), (90, 167, 180, 167, 180, 452, 90, 452), (689, 761, 952, 761, 952, 831, 689, 831), (306, 558, 601, 558, 601, 712, 306, 712), (209, 329, 406, 329, 406, 401, 209, 401), (647, 50, 892, 50, 892, 329, 647, 329), (319, 670, 537, 670, 537, 817, 319, 817), (567, 90, 691, 90, 691, 178, 567, 178), (81, 523, 285, 523, 285, 814, 81, 814)]"
"[(180, 203), (92, 76), (220, 188), (58, 178), (270, 63), (294, 264)]","[(741, 298, 921, 298, 921, 501, 741, 501), (618, 387, 710, 387, 710, 463, 618, 463), (538, 616, 758, 616, 758, 804, 538, 804), (318, 693, 376, 693, 376, 871, 318, 871), (32, 374, 302, 374, 302, 437, 32, 437), (211, 527, 505, 527, 505, 791, 211, 791)]"
"[(288, 294), (255, 195), (185, 188), (67, 166), (58, 143), (200, 89), (208, 114), (67, 127), (134, 179), (156, 290), (129, 60)]","[(652, 16, 940, 16, 940, 310, 652, 310), (17, 476, 272, 476, 272, 671, 17, 671), (759, 342, 944, 342, 944, 530, 759, 530), (139, 357, 206, 357, 206, 523, 139, 523), (237, 203, 295, 203, 295, 346, 237, 346), (665, 384, 865, 384, 865, 473, 665, 473), (781, 730, 989, 730, 989, 844, 781, 844), (152, 451, 219, 451, 219, 578, 152, 578), (706, 489, 840, 489, 840, 668, 706, 668), (193, 185, 349, 185, 349, 475, 193, 475), (3, 787, 132, 787, 132, 847, 3, 847)]"
"[(290, 170), (152, 220), (198, 67)]","[(168, 403, 458, 403, 458, 573, 168, 573), (85, 547, 237, 547, 237, 767, 85, 767), (792, 527, 990, 527, 990, 594, 792, 594)]"
